data_type,url,topic
Article,https://isha.sadhguru.org/in/en/wisdom/article/overcoming-social-anxiety,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/is-it-wrong-to-seek-attention-through-social-media,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/intelligent-know-how-to-have-fun,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/karma-inclusiveness-conflict,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/phone-addiction,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/kailash-touching-the-mystical,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/story-guru-purnima-from-adiyogi-today,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/guru-purnima-quotes-sadhguru,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/world-population-day-sadhguru-on-population-control,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/leadership-order-chaos,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/drop-excess-baggage,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/dont-pay-attention-just-be-attentive,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/why-enlightenment-seems-far-away,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/the-story-of-markandeya-and-kalabhairava,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/live-best-life-possible,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/slow-down-if-you-must-but-only-for-a-while,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/anesthesia-and-consciousness,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/artificial-intelligence-growth-mean-humanity,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/lone-bikerni-braves-odds-rally-rivers,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/mata-pita-guru-daivam,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/from-piece-flesh-to-divine-force,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/devotion-keeping-doors-open,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/universe-random-designed,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/enlightenment-happen-gradually-bang,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/stop-making-judgments-start-paying-attention,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/importance-right-company,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/living-democracy,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/karma-on-record,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/equanimity-conscious-activity,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/view-from-projection-room,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/we-are-not-endangered-species,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/the-only-calamity,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/how-to-deal-mobile-addiction,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/role-of-government-and-policy-in-nation-building,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/begging-tool-for-growth,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/you-are-the-earth,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/accessing-pure-intelligence-gnana-yoga,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/between-lunacy-and-reality,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/breaking-habits-living-consciously,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/meaning-of-colors,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/find-divine-place,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/brahmarandhra-passage-for-life,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/being-secular-culture-of-quest-not-commandment,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/how-to-create-lasting-pleasantness,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/cracking-shell-in-search-of-truth,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/navratri-worship-feminine,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/rhythm-of-nature-rhythm-of-stillness,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/yoga-pineal-gland-stability-ecstasy,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/india-everywhere-what-makes-india-india,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/celibacy-necessity-spiritual-path,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/the-geometry-of-energy-in-the-human-body,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/project-human-moving-from-compulsiveness-to-consciousness,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/samadhi-to-go-beyond-existence,Consciousness
Article,https://isha.sadhguru.org/in/en/wisdom/article/keep-calm-stay-home-covid19,Stress
Article,https://isha.sadhguru.org/in/en/wisdom/article/suffering-anxiety-sit-properly,Stress
Article,https://isha.sadhguru.org/in/en/wisdom/article/why-education-seems-pointless,Stress
Article,https://isha.sadhguru.org/in/en/wisdom/article/dealing-information-tech-overload,Stress
Article,https://isha.sadhguru.org/in/en/wisdom/article/how-to-handle-emotional-attachments,Stress
Article,https://isha.sadhguru.org/in/en/wisdom/article/how-live-meaningful-life,Stress
Article,https://isha.sadhguru.org/in/en/wisdom/article/transformative-leadership,Stress
Article,https://isha.sadhguru.org/in/en/wisdom/article/sleep-and-restfulness,Stress
Article,https://isha.sadhguru.org/in/en/wisdom/article/doing-the-right-things-with-yourself,Stress
Article,https://isha.sadhguru.org/in/en/wisdom/article/gautama-buddha-wheel-dharma,Stress
Article,https://isha.sadhguru.org/in/en/wisdom/article/why-yoga-becoming-popular,Stress
Article,https://isha.sadhguru.org/in/en/wisdom/article/4-travel-tips-to-beat-jetlag-fatigue,Stress
Article,https://isha.sadhguru.org/in/en/wisdom/article/entrepreneurial-stress-dealing-with-expectations,Stress
Article,https://isha.sadhguru.org/in/en/wisdom/article/frustrated-with-life-remember-joy-of-being-alive,Stress
Article,https://isha.sadhguru.org/in/en/wisdom/article/family-problems-conflict-turning-filth-into-fragrance,Stress
Article,https://isha.sadhguru.org/in/en/wisdom/article/opportunities-and-challenges-of-doing-business-in-india,Stress
Article,https://isha.sadhguru.org/in/en/wisdom/article/is-vastu-necessary,Stress
Article,https://isha.sadhguru.org/in/en/wisdom/article/the-business-of-human-wellbeing-the-most-sophisticated-gadget,Stress
Article,https://isha.sadhguru.org/in/en/wisdom/article/ancient-technology-modern-terminology,Stress
Article,https://isha.sadhguru.org/in/en/wisdom/article/exploring-your-full-potential,Stress
Article,https://isha.sadhguru.org/in/en/wisdom/article/4-tips-for-a-better-workplace,Stress
Article,https://isha.sadhguru.org/in/en/wisdom/article/cop15-save-soil-address-sadhguru,Save Soil
Article,https://isha.sadhguru.org/in/en/wisdom/article/soil-degradation-causes-effects,Save Soil
Article,https://isha.sadhguru.org/in/en/wisdom/article/save-the-soil-revitalization-methods,Save Soil
Article,https://isha.sadhguru.org/in/en/wisdom/article/saving-indias-soil-better-farming,Save Soil
Article,https://isha.sadhguru.org/in/en/wisdom/article/what-is-marriage,Marriage
Article,https://isha.sadhguru.org/in/en/wisdom/article/sutra-more-than-a-thread,Marriage
Article,https://isha.sadhguru.org/in/en/wisdom/article/shiva-shakti-54-shakti-sthalas-born,Marriage
Article,https://isha.sadhguru.org/in/en/wisdom/article/reason-for-rape,Marriage
Article,https://isha.sadhguru.org/in/en/wisdom/article/spouse-sadhana-conflict,Marriage
Article,https://isha.sadhguru.org/in/en/wisdom/article/story-gnana-sambandars-enlightenment,Marriage
Article,https://isha.sadhguru.org/in/en/wisdom/article/one-couple-two-spiritual-paths,Marriage
Article,https://isha.sadhguru.org/in/en/wisdom/article/live-in-relationship-cohabitation,Marriage
Article,https://isha.sadhguru.org/in/en/wisdom/article/courage-for-social-change-addressing-rape,Marriage
Article,https://isha.sadhguru.org/in/en/wisdom/article/marriage-growing-apart,Marriage
Article,https://isha.sadhguru.org/in/en/wisdom/article/a-seekers-relationship-blues,Marriage
